Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,timestamp
Italy,Grezzana,127,Unhealthy for Sensitive Groups,2,Good,31,Good,6,Good,127,Unhealthy for Sensitive Groups,45.5167,11.0167,2024-03-01 06:00:00
Netherlands,Groesbeek,38,Good,0,Good,32,Good,2,Good,38,Good,51.7833,5.9333,2024-03-01 07:00:00
United States of America,West Carson,90,Moderate,2,Good,12,Good,29,Good,90,Moderate,33.8229,-118.2931,2024-03-01 08:00:00
United States of America,West Lafayette,61,Moderate,2,Good,21,Good,12,Good,61,Moderate,40.4432,-86.9238,2024-03-01 09:00:00
United States of America,White Oak,71,Moderate,2,Good,26,Good,15,Good,71,Moderate,39.2106,-84.606,2024-03-01 10:00:00
United States of America,Whitefish Bay,50,Good,1,Good,22,Good,10,Good,50,Good,43.1131,-87.9003,2024-03-01 11:00:00
Netherlands,Wijchen,38,Good,1,Good,21,Good,7,Good,38,Good,51.8,5.7333,2024-03-01 12:00:00
United States of America,Wilmington Island,54,Moderate,1,Good,37,Good,5,Good,54,Moderate,32.0033,-80.9752,2024-03-01 13:00:00
United States of America,Windsor Locks,58,Moderate,2,Good,21,Good,12,Good,58,Moderate,41.9267,-72.6544,2024-03-01 14:00:00
China,Xinqing,48,Good,1,Good,32,Good,0,Good,48,Good,48.2363,129.5059,2024-03-01 15:00:00
Netherlands,Zandvoort,55,Moderate,1,Good,37,Good,4,Good,55,Moderate,52.3667,4.5333,2024-03-01 16:00:00
Mexico,Teoloyucan,160,Unhealthy,4,Good,7,Good,15,Good,160,Unhealthy,19.7442,-99.1811,2024-03-01 17:00:00
Thailand,Pran Buri,35,Good,0,Good,18,Good,0,Good,35,Good,12.3939,99.9159,2024-03-01 18:00:00
United States of America,Prescott Valley,37,Good,1,Good,13,Good,5,Good,37,Good,34.598,-112.3185,2024-03-01 19:00:00
Mexico,Puerto Escondido,50,Good,1,Good,20,Good,1,Good,50,Good,15.8619,-97.0672,2024-03-01 20:00:00
Croatia,Pula,43,Good,1,Good,43,Good,0,Good,17,Good,44.8703,13.8456,2024-03-01 21:00:00
China,Puqi,151,Unhealthy,3,Good,151,Unhealthy,2,Good,83,Moderate,29.7204,113.88,2024-03-01 22:00:00
United States of America,Rancho San Diego,64,Moderate,2,Good,10,Good,22,Good,64,Moderate,32.7624,-116.9197,2024-03-01 23:00:00
Denmark,Randers,33,Good,1,Good,33,Good,1,Good,25,Good,56.457,10.039,2024-03-02 00:00:00
Spain,Redondela,27,Good,0,Good,27,Good,2,Good,18,Good,42.2833,-8.6167,2024-03-02 01:00:00
Germany,Ronnenberg,37,Good,0,Good,33,Good,1,Good,37,Good,52.3194,9.6556,2024-03-02 02:00:00
United Republic of Tanzania,Same,28,Good,1,Good,15,Good,0,Good,28,Good,-9.0,125.65,2024-03-02 03:00:00
